artifact,id,tokens,KL,NLL,reference_NLL,delta_NLL,top1_flip
28M_rtn_b4_g64,public_prompt_00,63,0.09538619220256805,2.466132879257202,2.413591146469116,0.05254199355840683,0.2063492089509964
28M_rtn_b4_g64,public_prompt_01,42,0.08182798326015472,2.0024898052215576,1.860412359237671,0.14207741618156433,0.190476194024086
28M_rtn_b4_g64,public_prompt_02,80,0.10005325078964233,2.1121740341186523,2.0264322757720947,0.0857418030500412,0.10000000149011612
28M_rtn_b4_g64,public_prompt_03,78,0.13095404207706451,2.38293194770813,2.2190849781036377,0.16384683549404144,0.24358974397182465
28M_rtn_b4_g64,public_prompt_04,35,0.10614067316055298,3.034130334854126,2.8325865268707275,0.20154394209384918,0.20000000298023224
28M_rtn_b4_g64,public_prompt_05,49,0.141307532787323,2.0688281059265137,1.9234999418258667,0.14532805979251862,0.18367347121238708
28M_rtn_b4_g64,public_prompt_06,31,0.13682813942432404,2.729679584503174,2.587470054626465,0.1422097235918045,0.19354838132858276
28M_rtn_b4_g64,public_prompt_07,25,0.10389893501996994,2.6541268825531006,2.5187206268310547,0.13540607690811157,0.1599999964237213
28M_rtn_b4_g64,public_prompt_08,43,0.09615717083215714,1.878281831741333,1.7837692499160767,0.09451257437467575,0.23255814611911774
28M_rtn_b4_g64,public_prompt_09,26,0.07424373924732208,2.6165788173675537,2.48511004447937,0.13146859407424927,0.1538461595773697
28M_rtn_b4_g64,public_prompt_10,33,0.08799763768911362,1.2531459331512451,1.2683120965957642,-0.015165971592068672,0.12121212482452393
28M_rtn_b4_g64,public_prompt_11,45,0.121617890894413,2.424276113510132,2.469459295272827,-0.045183077454566956,0.17777778208255768
28M_rtn_b4_g64,public_prompt_12,30,0.11640998721122742,3.422689914703369,3.167114496231079,0.2555752396583557,0.20000000298023224
28M_rtn_b4_g64,public_prompt_13,30,0.0795169249176979,2.163072109222412,1.9159024953842163,0.24716989696025848,0.06666667014360428
28M_rtn_b4_g64,public_prompt_14,48,0.05417746305465698,1.6885191202163696,1.7205514907836914,-0.03203257918357849,0.0416666679084301
28M_rtn_b4_g64,public_prompt_15,70,0.09624230861663818,1.5542633533477783,1.3828270435333252,0.17143623530864716,0.11428571492433548
28M_rtn_b4_g64,public_prompt_16,58,0.08192490041255951,2.217231035232544,2.1713435649871826,0.04588725417852402,0.1034482792019844
28M_rtn_b4_g64,public_prompt_17,47,0.10130625218153,2.0350210666656494,1.8519636392593384,0.18305745720863342,0.10638298094272614
28M_rtn_b4_g64,public_prompt_18,48,0.07946643233299255,1.7024415731430054,1.6671637296676636,0.035277802497148514,0.125
28M_rtn_b4_g64,public_prompt_19,75,0.08811148256063461,1.7939196825027466,1.7211352586746216,0.07278434932231903,0.20000000298023224
28M_rtn_b4_g64,public_prompt_20,77,0.09424389153718948,2.4514806270599365,2.30363130569458,0.14784906804561615,0.19480518996715546
28M_rtn_b4_g64,public_prompt_21,63,0.09184341132640839,1.6775760650634766,1.7370163202285767,-0.0594402439892292,0.1269841343164444
28M_rtn_b4_g64,public_prompt_22,83,0.06437329202890396,1.1077024936676025,1.057115077972412,0.05058726295828819,0.08433734625577927
28M_rtn_b4_g64,public_prompt_23,72,0.08253400772809982,1.4472686052322388,1.3680490255355835,0.07921944558620453,0.0972222238779068
28M_rtn_b4_g64,public_prompt_24,79,0.07852088660001755,1.2553220987319946,1.1321942806243896,0.123127780854702,0.10126582533121109
28M_rtn_b4_g64,public_prompt_25,99,0.08544501662254333,1.3716845512390137,1.280475378036499,0.091209277510643,0.14141413569450378
28M_rtn_b4_g64,public_prompt_26,118,0.09446705132722855,1.6228039264678955,1.4552134275436401,0.1675906926393509,0.17796610295772552
28M_rtn_b4_g64,public_prompt_27,59,0.06843603402376175,1.0620439052581787,1.0514684915542603,0.010575401596724987,0.050847455859184265
28M_rtn_b4_g64,public_prompt_28,81,0.07273174077272415,1.4941390752792358,1.3401585817337036,0.15398041903972626,0.09876543283462524
28M_rtn_b4_g64,public_prompt_29,105,0.08367470651865005,1.503393292427063,1.4791494607925415,0.024243678897619247,0.12380952388048172
28M_rtn_b4_g64,public_prompt_30,38,0.09702198952436447,2.304138660430908,2.215730905532837,0.0884077250957489,0.18421052396297455
28M_rtn_b4_g64,public_prompt_31,34,0.08460608124732971,1.6179959774017334,1.575264573097229,0.042731497436761856,0.20588235557079315
28M_rtn_b4_g64,public_prompt_32,44,0.08173259347677231,1.5843299627304077,1.4582417011260986,0.12608814239501953,0.15909090638160706
28M_rtn_b4_g64,public_prompt_33,74,0.12024606019258499,1.6879775524139404,1.6313740015029907,0.05660377815365791,0.13513512909412384
28M_rtn_b4_g64,public_prompt_34,92,0.0900081992149353,1.2620089054107666,1.2494921684265137,0.012516729533672333,0.17391304671764374
28M_rtn_b4_g64,public_prompt_35,88,0.07624507695436478,1.3818987607955933,1.22794771194458,0.1539509892463684,0.15909090638160706
28M_rtn_b4_g64,public_prompt_36,41,0.09673117101192474,1.4859076738357544,1.3811752796173096,0.10473240911960602,0.09756097197532654
28M_rtn_b4_g64,public_prompt_37,38,0.11228325217962265,2.0711216926574707,1.9372752904891968,0.13384635746479034,0.07894736528396606
28M_rtn_b4_g64,public_prompt_38,38,0.10354140400886536,1.4760605096817017,1.430587649345398,0.04547283053398132,0.1315789520740509
28M_rtn_b4_g64,public_prompt_39,109,0.08743812888860703,1.4440494775772095,1.3201929330825806,0.1238565742969513,0.12844036519527435
28M_rtn_b4_g64,public_prompt_40,102,0.05834709852933884,1.0744019746780396,1.0010985136032104,0.07330340147018433,0.05882352963089943
28M_rtn_b4_g64,public_prompt_41,58,0.07560573518276215,1.2947473526000977,1.2272225618362427,0.067524753510952,0.13793103396892548
