candidate,NLL_tw,PPL,KL_tw,dNLL_tw,agree_tw,dNLL_CI
ORIGINAL,2.339115,10.3721,0.0,0.0,1.0,[0.0, 0.0]
1M_act_b8_g64,2.344233,10.4253,0.006305,0.005118,0.952387,[0.0042, 0.0055]
1M_act_b6_g64,2.454258,11.6378,0.108365,0.115143,0.811082,[0.1133, 0.1182]
1M_act_b4_g64,3.964689,52.7039,1.530184,1.625575,0.3996,[1.611, 1.6366]
1M_act_b3_g64,6.347779,571.2225,4.019289,4.008664,0.154955,[3.9747, 4.0279]
1M_act_b2_g64,8.664413,5793.0413,6.237288,6.325298,0.072536,[6.3006, 6.3511]
1M_vqK64_B32,11.364144,86175.773,8.928525,9.02503,0.012697,[8.9966, 9.0579]
1M_shareK64_B32,13.986654,1186660.9744,11.52509,11.647539,0.013666,[11.6044, 11.6685]
1M_BC_P256,14.77305,2605278.0479,12.310631,12.433935,0.013507,[12.3814, 12.4595]
